ISO,month,period,alertes_count
AGO,1997-06-01,199706,1
AGO,1997-07-01,199707,1
AGO,1997-08-01,199708,1
AGO,1997-09-01,199709,1
AGO,1997-10-01,199710,1
AGO,1997-11-01,199711,1
AGO,1997-12-01,199712,1
AGO,1998-01-01,199801,0
AGO,1998-02-01,199802,0
AGO,1998-03-01,199803,0
AGO,1998-04-01,199804,0
AGO,1998-05-01,199805,0
AGO,1998-06-01,199806,0
AGO,1998-07-01,199807,0
AGO,1998-08-01,199808,0
AGO,1998-09-01,199809,0
AGO,1998-10-01,199810,0
AGO,1998-11-01,199811,0
AGO,1998-12-01,199812,0
AGO,1999-01-01,199901,1
AGO,1999-02-01,199902,1
AGO,1999-03-01,199903,1
AGO,1999-04-01,199904,1
AGO,1999-05-01,199905,1
AGO,1999-06-01,199906,1
AGO,1999-07-01,199907,1
AGO,1999-08-01,199908,1
AGO,1999-09-01,199909,1
AGO,1999-10-01,199910,1
AGO,1999-11-01,199911,1
AGO,1999-12-01,199912,1
AGO,2000-01-01,200001,2
AGO,2000-02-01,200002,2
AGO,2000-03-01,200003,2
AGO,2000-04-01,200004,2
AGO,2000-05-01,200005,2
AGO,2000-06-01,200006,2
AGO,2000-07-01,200007,2
AGO,2000-08-01,200008,2
AGO,2000-09-01,200009,2
AGO,2000-10-01,200010,2
AGO,2000-11-01,200011,2
AGO,2000-12-01,200012,2
AGO,2001-01-01,200101,0
AGO,2001-02-01,200102,0
AGO,2001-03-01,200103,0
AGO,2001-04-01,200104,0
AGO,2001-05-01,200105,0
AGO,2001-06-01,200106,0
AGO,2001-07-01,200107,0
AGO,2001-08-01,200108,0
AGO,2001-09-01,200109,0
AGO,2001-10-01,200110,0
AGO,2001-11-01,200111,0
AGO,2001-12-01,200112,0
AGO,2002-01-01,200201,1
AGO,2002-02-01,200202,1
AGO,2002-03-01,200203,1
AGO,2002-04-01,200204,1
AGO,2002-05-01,200205,1
AGO,2002-06-01,200206,1
AGO,2002-07-01,200207,1
AGO,2002-08-01,200208,1
AGO,2002-09-01,200209,1
AGO,2002-10-01,200210,1
AGO,2002-11-01,200211,1
AGO,2002-12-01,200212,1
AGO,2003-01-01,200301,0
AGO,2003-02-01,200302,0
AGO,2003-03-01,200303,0
AGO,2003-04-01,200304,0
AGO,2003-05-01,200305,0
AGO,2003-06-01,200306,0
AGO,2003-07-01,200307,0
AGO,2003-08-01,200308,0
AGO,2003-09-01,200309,0
AGO,2003-10-01,200310,0
AGO,2003-11-01,200311,0
AGO,2003-12-01,200312,0
AGO,2004-01-01,200401,0
AGO,2004-02-01,200402,0
AGO,2004-03-01,200403,0
AGO,2004-04-01,200404,0
AGO,2004-05-01,200405,0
AGO,2004-06-01,200406,0
AGO,2004-07-01,200407,0
AGO,2004-08-01,200408,0
AGO,2004-09-01,200409,0
AGO,2004-10-01,200410,0
AGO,2004-11-01,200411,0
AGO,2004-12-01,200412,0
AGO,2005-01-01,200501,0
AGO,2005-02-01,200502,0
AGO,2005-03-01,200503,0
AGO,2005-04-01,200504,0
AGO,2005-05-01,200505,0
AGO,2005-06-01,200506,0
AGO,2005-07-01,200507,0
AGO,2005-08-01,200508,0
AGO,2005-09-01,200509,0
AGO,2005-10-01,200510,0
AGO,2005-11-01,200511,0
AGO,2005-12-01,200512,0
AGO,2006-01-01,200601,2
AGO,2006-02-01,200602,2
AGO,2006-03-01,200603,2
AGO,2006-04-01,200604,2
AGO,2006-05-01,200605,2
